module,function,result,pass,reason
app.config.feature_flags,Dict,error,,
app.config.feature_flags,all_flags,ran_ok,no_args,
app.config.feature_flags,get_flag,ran_ok,shim,
app.middleware.security,ASGIApp,error,,
app.middleware.security,BaseHTTPMiddleware,skipped,,unsafe
app.middleware.security,Callable,error,,
app.middleware.security,Receive,error,,
app.middleware.security,Scope,error,,
app.middleware.security,SecurityHeadersMiddleware,skipped,,unsafe
app.middleware.security,SecurityHeadersMiddlewareR2,skipped,,unsafe
app.middleware.security,Send,error,,
app.models.__init__,EdgeModel,skipped,,unsafe
app.models.__init__,GraphModel,skipped,,unsafe
app.models.__init__,NodeModel,skipped,,unsafe
app.models.graph,Any,skipped,,unsafe
app.models.graph,BaseModel,skipped,,unsafe
app.models.graph,Dict,error,,
app.models.graph,EdgeModel,skipped,,unsafe
app.models.graph,Field,ran_ok,no_args,
app.models.graph,GraphModel,skipped,,unsafe
app.models.graph,List,error,,
app.models.graph,NodeModel,skipped,,unsafe
app.models.graph,Optional,error,,
app.repos.__init__,delete_graph,ran_ok,shim,
app.repos.__init__,list_graph_ids,ran_ok,no_args,
app.repos.__init__,load_graph,ran_ok,shim,
app.repos.__init__,save_graph,error,,
app.repos.graphs_db,delete_graph,ran_ok,shim,
app.repos.graphs_db,list_graph_ids,ran_ok,no_args,
app.repos.graphs_db,load_graph,ran_ok,shim,
app.repos.graphs_db,save_graph,error,,
app.routers.admin,APIRouter,skipped,,unsafe
app.routers.admin,HTTPException,skipped,,unsafe
app.routers.admin,Request,skipped,,unsafe
app.routers.admin,compliance_export,skipped,,unsafe
app.routers.admin,datetime,skipped,,unsafe
app.routers.admin,export_settings,skipped,,unsafe
app.routers.admin,get_settings,skipped,,unsafe
app.routers.admin,get_settings_history,skipped,,unsafe
app.routers.admin,import_settings,skipped,,unsafe
app.routers.admin,reset_settings,skipped,,unsafe
app.routers.admin,rollback_settings,skipped,,unsafe
app.routers.admin,router,error,,
app.routers.admin,set_settings,skipped,,unsafe
app.routers.auth,APIRouter,skipped,,unsafe
app.routers.auth,HTTPException,skipped,,unsafe
app.routers.auth,Request,skipped,,unsafe
app.routers.auth,audit_search,skipped,,unsafe
app.routers.auth,audit_summary,skipped,,unsafe
app.routers.auth,audit_view,skipped,,unsafe
app.routers.auth,auth_health,ran_ok,no_args,
app.routers.auth,bulk_deactivate_users,skipped,,unsafe
app.routers.auth,bulk_delete_users,skipped,,unsafe
app.routers.auth,bulk_export_users,skipped,,unsafe
app.routers.auth,bulk_lock_users,skipped,,unsafe
app.routers.auth,bulk_purge_users,skipped,,unsafe
